macrostate,P_up,P_down,term_1,term_2
0,0.061058847922999995,0.0,0.0,0.0
10,0.010817286473000001,0.022223177405,-6.109099083133869e-19,2.394206976302573e-39
20,0.0072479628645,0.018368128485999998,-1.2573855270063614e-18,4.8743035647162555e-39
30,0.0058984310086,0.016697530337,-1.900485233033058e-18,4.848416366256018e-39
40,0.0052523849977,0.011450971862999999,-2.627675691258252e-18,7.545132400307416e-39
50,0.0042613978688,0.01123916771,-3.198872150918652e-18,1.0557696742364053e-38
60,0.0037524930663,0.010210427267,-3.892605804724041e-18,1.430630333435775e-38
70,0.0039370044487,0.0099214404255,-4.566071474788764e-18,1.1677607190390801e-38
80,0.0037250458323000004,0.0085531184982,-5.273579344216962e-18,1.2752008117377846e-38
90,0.003459004524,0.0079819072823,-5.847139221028252e-18,1.4565085783817314e-38
100,0.0030119922312999998,0.007601807332,-6.43373481588251e-18,1.680756334466683e-38
110,0.0033183955001,0.0068155886344,-7.052650437025197e-18,1.5765859627988502e-38
120,0.0027003343566000004,0.005644080313,-7.905316057150244e-18,1.477927414748347e-38
130,0.0026637481234,0.005610251964999999,-8.621976069707124e-18,1.8730203864921925e-38
140,0.0029563268412,0.0087375191284,-9.027596364695558e-18,2.13819407422277e-38
150,0.002863660501,0.0067535012422,-9.681605715053205e-18,2.704794562084136e-38
160,0.0025261367715,0.0047020287824,-1.0615413263828027e-17,2.2550527597681688e-38
170,0.0023780791351999996,0.0049012561041,-1.122836417289381e-17,3.840753879055753e-38
180,0.002666395342,0.006537268037800001,-1.184448162411271e-17,4.187744400155101e-38
190,0.0021773920637,0.0052659612563,-1.2658996361938947e-17,6.477407490253965e-38
200,0.0019504113135,0.0049598861594,-1.3400340005603256e-17,3.216387046363389e-38
210,0.0021148724059,0.0059653049356000005,-1.4116589576072176e-17,3.9661861475732835e-38
220,0.0021424378512000003,0.004947396200600001,-1.4591205138865853e-17,4.035367907645344e-38
230,0.0026549227365,0.005313915502300001,-1.5032922894650926e-17,3.847146085827113e-38
240,0.0023085042226,0.0050774134092,-1.5808725419171398e-17,3.0750486257674355e-38
250,0.0020970598635,0.0057575416172,-1.676610832158351e-17,3.85625251226982e-38
260,0.0022916595179000004,0.0045031595231000004,-1.7121254115775925e-17,3.5095152835654615e-38
270,0.0022824924084,0.0054505514938000005,-1.7830443407602713e-17,6.632749029888842e-38
280,0.0023410530464000002,0.0046168346875,-1.846685668311065e-17,5.575245981249547e-38
290,0.0025772524618,0.0056824963281,-1.8852953821604718e-17,6.077508072640759e-38
300,0.0020309113809,0.0045113433526999995,-2.008201481043642e-17,7.01489277299814e-38
310,0.0022625324668,0.0047777269023,-2.0647495583471772e-17,3.8194417934895105e-38
320,0.0023375243091,0.0045240044628999995,-2.1047907078558616e-17,4.954595323383829e-38
330,0.0022897830945,0.0048755811702,-2.1880431505792176e-17,1.0171945909379829e-37
340,0.0020618988514,0.00471392332,-2.2639197171829845e-17,5.598874470160663e-38
350,0.0023648038992,0.004166154198,-2.322226247619135e-17,6.379220744683365e-38
360,0.0023941481898,0.0042652671599,-2.3772050218028002e-17,6.953134597831236e-38
370,0.0023386661608,0.0043275577504,-2.45239165715945e-17,8.101946573431407e-38
380,0.002496223892,0.0044834062929,-2.4923506473105685e-17,1.3373582428563262e-37
390,0.0020404027024000003,0.0038070232786000004,-2.5965559637754257e-17,5.989448799035505e-38
400,0.0024623322392,0.0039485990153999995,-2.62844597363247e-17,6.331258768694399e-38
410,0.0026340569033,0.0039412853181000004,-2.692929331977093e-17,7.670358102410635e-38
420,0.0023984344752,0.004300093237,-2.779341937254238e-17,9.797548425262532e-38
430,0.0025691995849000003,0.0041867955757,-2.8380662513882136e-17,5.289600861151588e-38
440,0.0023436316115,0.0036399420406,-2.9333043799042614e-17,8.981632515426291e-38
450,0.0023416799124,0.0038619993401,-2.9908639998686744e-17,6.087170907466276e-38
460,0.0021748981714999997,0.0034016871684,-3.081986764063014e-17,8.207755532202e-38
470,0.0021434374638,0.0031424754717,-3.1343122437391586e-17,1.268874358380295e-37
480,0.0025765412469999998,0.0033423219177999997,-3.169847814438666e-17,1.0207246448912046e-37
490,0.0025071336115000003,0.0034476368257,-3.250511907210802e-17,1.0551333094595455e-37
500,0.002581332507,0.003481365903,-3.3151810691125594e-17,1.4447818748368035e-37
510,0.0025068670254,0.0037038210127,-3.3944852125056635e-17,5.80395366269744e-38
520,0.0024523707998000003,0.0035929402359,-3.4658618809437194e-17,1.0654065676920305e-37
530,0.0023434539526,0.0032877446288,-3.538344484843449e-17,7.908027570333273e-38
540,0.002373608914,0.0028719561841,-3.61341956565332e-17,1.3538102271841795e-37
550,0.0028496220928,0.0032919011097,-3.661195650855886e-17,1.5550073840597713e-37
560,0.0022934194749,0.0030638539100999998,-3.7518841592264107e-17,7.887719508975774e-38
570,0.0022158949937,0.0031887387814,-3.845968067817764e-17,8.219016188043656e-38
580,0.0025016917986,0.003056964233,-3.8868922203778305e-17,8.526393196594546e-38
590,0.0025722548793000004,0.0027454509226,-3.948187740109991e-17,8.775081245048445e-38
600,0.0024883053443,0.0028818153171999996,-4.017858179986529e-17,9.063465081907994e-38
610,0.0025944816581999998,0.0029456060532,-4.0903793678751936e-17,1.077403424723967e-37
620,0.0022359516466,0.0027761507533000003,-4.189227249281327e-17,1.1479881312340448e-37
630,0.0026231937418000006,0.0027819752043000004,-4.236752516762995e-17,1.1947297810619287e-37
640,0.0025218208071999997,0.0025139992704,-4.301908234483685e-17,9.234849793872767e-38
650,0.0022102418389,0.0028214872122,-4.4069556637662285e-17,8.529901316338677e-38
660,0.0030621808124000004,0.0024713468523000002,-4.4336658199270904e-17,9.494952169361198e-38
670,0.0028337484551999997,0.0026316366737,-4.5129532457428995e-17,1.0559324445871892e-37
680,0.0026931450601999996,0.0024298734751,-4.595599128791808e-17,1.1078600318792567e-37
690,0.0027836155605999997,0.002280465976,-4.669486170314888e-17,7.417428515234397e-38
700,0.0027306431581,0.0024642165269,-4.729343278568807e-17,1.0679952499099372e-37
710,0.0027637880846,0.002432288482,-4.8088008910248554e-17,1.1717938393196955e-37
720,0.0028935088874,0.0023757027760999997,-4.87995682447137e-17,9.05440558398353e-38
730,0.0027421049341,0.002406580955,-4.958272956840378e-17,1.0501151098727875e-37
740,0.0027937256117,0.0023635552915999996,-5.031394522685279e-17,1.0373112087124886e-37
750,0.0026461522818,0.0022182630315,-5.130179121654369e-17,9.871599291190845e-38
760,0.0026225108258000006,0.0023336944104999998,-5.192983402186323e-17,8.603881449503262e-38
770,0.0024739546179999997,0.0021370141488,-5.269770641583813e-17,9.603669398299906e-38
780,0.0027647875264999997,0.0024491212065,-5.3177154110302305e-17,1.2953918881969415e-37
790,0.0024770515926,0.002570659917,-5.4031632288755895e-17,9.662170506280972e-38
800,0.0023463274244,0.0024469264350999997,-5.488367704557264e-17,1.0136049507891144e-37
810,0.0025484150935999998,0.0025706482523000004,-5.553470182518171e-17,1.1140237679264168e-37
820,0.0024173593604,0.0027644054691,-5.626046365217084e-17,1.2775846177634104e-37
