macrostate,P_up,P_down,term_1,term_2
0,0.045035931737000004,0.0,0.0,0.0
10,0.0068091480313,0.076746145556,-5.363481529959482e-19,4.093023098703121e-39
20,0.0043651276448,0.064982883942,-1.1137043666248543e-18,7.271965031693155e-39
30,0.0034966142233999998,0.055261408982,-1.7230800422838024e-18,1.0517224444270566e-38
40,0.00286985506,0.049844287542,-2.332488815681627e-18,1.247911473850525e-38
50,0.0025058118096,0.035479476608,-2.982635671269294e-18,1.6943931798268243e-38
60,0.0023736801358,0.040182175767,-3.555921075350787e-18,1.582602250377517e-38
70,0.0021907596797,0.037444870241,-4.195336085869829e-18,1.6590936148300572e-38
80,0.0021210948767,0.034932590742,-4.7952676180101285e-18,2.093331473539504e-38
90,0.0019459208296,0.030476162204,-5.4276287882464116e-18,2.126815219731246e-38
100,0.0018253305745999998,0.027794575555,-6.071901627896484e-18,2.4555933973164013e-38
110,0.0017586921742,0.026573880833,-6.695491804526807e-18,2.5626505107040073e-38
120,0.0016319088443,0.026527268213,-7.313909949897891e-18,2.938516879308847e-38
130,0.0015768655375999999,0.024996347335000002,-7.949933046828536e-18,2.7941935922666234e-38
140,0.0015207930964000003,0.026030883884999998,-8.547324050790721e-18,4.04441335278556e-38
150,0.0015011655455,0.027274418394999996,-9.049692674114136e-18,3.0715534601772406e-38
160,0.0014317394014000003,0.024484332157,-9.82381164391418e-18,3.326717449895374e-38
170,0.0013647160670000001,0.024845108217000002,-1.0464284979638684e-17,4.190005847127655e-38
180,0.0013123432337,0.021913727408,-1.1074435766293402e-17,3.301384585171739e-38
190,0.0012663897174,0.020573195434,-1.1787483821588173e-17,3.7066817511104493e-38
200,0.00146677247,0.0229117483,-1.2111249363500142e-17,4.2167489129121246e-38
210,0.0011971315222,0.020907750744,-1.3087579716242817e-17,5.333551886401847e-38
220,0.0012042019024,0.021632000962999998,-1.3619140752680238e-17,6.453507080536897e-38
230,0.0013362957672,0.022192651446,-1.4116521357534813e-17,5.805530513235876e-38
240,0.0011942894500999999,0.021563201014,-1.485471914084428e-17,6.469087832547949e-38
250,0.0013254031706,0.020664820658,-1.5388748543965015e-17,6.980672235544561e-38
260,0.0010888328398,0.018457163311999997,-1.626030046752929e-17,4.642702029771121e-38
270,0.0013382167257,0.019843449671,-1.6567629267215767e-17,5.425538037751561e-38
280,0.0013882613738,0.020106223112999998,-1.716870738496636e-17,5.564973010300353e-38
290,0.0013054767279000001,0.01879159929,-1.7786939387569677e-17,5.07598589076732e-38
300,0.0013198225497000002,0.017358991006,-1.8492115819399628e-17,5.18894739199099e-38
310,0.0013205408658,0.018101415285,-1.9060912634094543e-17,5.863714677409342e-38
320,0.0012560623645,0.017391574938,-1.9737056813924547e-17,8.242093117228009e-38
330,0.0012426258667,0.016015142595,-2.0351217688049023e-17,7.633445217532843e-38
340,0.0013412136190999997,0.018450909788,-2.08561931265073e-17,7.040212388739441e-38
350,0.001279347884,0.016523339924999998,-2.1622454477595708e-17,7.101257963618465e-38
360,0.0013339426188,0.017692434202,-2.222958109772432e-17,6.86956231782643e-38
370,0.0012257232072,0.015859794513,-2.3020167452663634e-17,8.309840365534773e-38
380,0.0012120819588,0.015322739783,-2.3658306133017526e-17,6.76675358086572e-38
390,0.0013453884467,0.016977290475,-2.4042588753522628e-17,1.0528769390537466e-37
400,0.0012601027133,0.015015524173999999,-2.4713722162479924e-17,1.1174246830309851e-37
410,0.0013412452461,0.016221781922,-2.5223923341566794e-17,7.511157279652801e-38
420,0.0012377201052,0.015109243934,-2.614263531516821e-17,7.456880596549066e-38
