,pressure,p/p0,fugacity,uptake,metastable_gas,metastable_liq
0,1.0,0.0002197873962310666,0.979242067610702,0.00027099780895841727,,
1,23.85854992149465,0.0052438085650942275,23.363295755317573,0.006470826701930838,,
2,46.7170998429893,0.010267829733957389,45.74734944302444,0.012680962810237457,,
3,69.57564976448396,0.01529185090282055,68.13140313073131,0.01890188927508412,,
4,92.4341996859786,0.02031587207168371,90.51545681843818,0.025134107137438463,,
5,115.29274960747324,0.02533989324054687,112.89951050614505,0.031378136206737614,,
6,138.1512995289679,0.030363914409410036,135.28356419385193,0.03763451593706343,,
7,161.00984945046255,0.035387935578273196,157.6676178815588,0.04390380631323057,,
8,183.8683993719572,0.04041195674713635,180.05167156926566,0.050186588749279386,,
9,206.72694929345184,0.045435977915999515,202.43572525697252,0.05648346700190993,,
10,229.58549921494648,0.05045999908486267,224.8197789446794,0.0627950681014426,,
11,252.44404913644115,0.055484020253725834,247.20383263238628,0.06912204330292963,,
12,275.3025990579358,0.060508041422589004,269.58788632009316,0.07546506906008936,,
13,298.16114897943044,0.06553206259145215,291.9719400078,0.08182484802477412,,
14,321.01969890092516,0.07055608376031533,314.3559936955069,0.08820211007472839,,
15,343.8782488224197,0.07558010492917848,336.7400473832137,0.09459761337242767,,
16,366.7367987439144,0.08060412609804164,359.12410107092063,0.10101214545783556,,
17,389.59534866540906,0.0856281472669048,381.50815475862754,0.10744652437794941,,
18,412.4538985869037,0.09065216843576795,403.89220844633434,0.11390159985604514,,
19,435.31244850839835,0.09567618960463112,426.27626213404125,0.12037825450356429,,
20,458.17099842989296,0.10070021077349428,448.6603158217481,0.12687740507762088,,
21,481.02954835138763,0.10572423194235744,471.04436950945495,0.13340000378713865,,
22,503.8880982728823,0.11074825311122061,493.42842319716186,0.13994703965065805,,
23,526.7466481943769,0.11577227428008376,515.8124768848687,0.1465195399088728,,
24,549.6051981158716,0.12079629544894693,538.1965305725756,0.15311857149498795,,
25,572.4637480373663,0.1258203166178101,560.5805842602824,0.15974524256600087,,
26,595.3222979588609,0.13084433778667323,582.9646379479893,0.16640070409803312,,
27,618.1808478803555,0.1358683589555364,605.3486916356961,0.17308615154883142,,
28,641.0393978018502,0.14089238012439959,627.732745323403,0.17980282659058916,,
29,663.8979477233448,0.14591640129326272,650.11679901111,0.18655201891620812,,
30,686.7564976448394,0.15094042246212588,672.5008526988167,0.1933350681221335,,
31,709.6150475663342,0.15596444363098905,694.8849063865237,0.200153365670873,,
32,732.4735974878288,0.1609884647998522,717.2689600742306,0.2070083569362791,,
33,755.3321474093234,0.16601248596871537,739.6530137619374,0.21390154333465358,,
34,778.190697330818,0.1710365071375785,762.0370674496443,0.2208344845446793,,
35,801.0492472523127,0.1760605283064417,784.4211211373512,0.2278088008191358,,
36,823.9077971738074,0.18108454947530483,806.805174825058,0.23482617539128056,,
37,846.7663470953022,0.18610857064416805,829.189228512765,0.241888356978714,,
38,869.6248970167967,0.1911325918130312,851.5732822004718,0.2489971623874305,,
39,892.4834469382913,0.19615661298189432,873.9573358881786,0.2561544792186631,,
40,915.3419968597859,0.2011806341507575,896.3413895758855,0.26336226868099427,,
41,938.2005467812807,0.20620465531962065,918.7254432635924,0.27062256851007677,,
42,961.0590967027753,0.2112286764884838,941.1094969512992,0.27793749599810225,,
43,983.9176466242699,0.21625269765734698,963.4935506390061,0.2853092511350334,,
44,1006.7761965457646,0.22127671882621014,985.877604326713,0.2927401198633344,,
45,1029.6347464672592,0.2263007399950733,1008.2616580144198,0.3002324774477705,,
46,1052.4932963887538,0.23132476116393644,1030.6457117021266,0.3077887919615319,,
47,1075.3518463102484,0.2363487823327996,1053.0297653898335,0.31541162788968924,,
48,1098.2103962317433,0.24137280350166282,1075.4138190775407,0.3231036498506545,,
49,1121.068946153238,0.24639682467052595,1097.7978727652473,0.33086762643598083,,
50,1143.9274960747325,0.2514208458393891,1120.1819264529543,0.33870643416845414,,
51,1166.7860459962271,0.25644486700825225,1142.5659801406612,0.3466230615780192,,
52,1189.6445959177217,0.26146888817711544,1164.9500338283679,0.35462061339462414,,
53,1212.5031458392164,0.2664929093459786,1187.3340875160748,0.36270231485660615,,
54,1235.361695760711,0.2715169305148417,1209.7181412037817,0.37087151613266145,,
55,1258.2202456822058,0.2765409516837049,1232.1021948914886,0.37913169685494486,,
56,1281.0787956037004,0.2815649728525681,1254.4862485791955,0.3874864707601671,,
57,1303.937345525195,0.28658899402143123,1276.8703022669024,0.3959395904349413,,
58,1326.7958954466897,0.29161301519029437,1299.254355954609,0.4044949521609025,,
59,1349.6544453681843,0.29663703635915756,1321.638409642316,0.413156600854406,,
60,1372.5129952896789,0.3016610575280207,1344.022463330023,0.42192873509476314,,
61,1395.3715452111737,0.3066850786968839,1366.4065170177298,0.43081571223416376,,
62,1418.2300951326683,0.3117090998657471,1388.7905707054367,0.4398220535815212,,
63,1441.088645054163,0.3167331210346102,1411.1746243931436,0.4489524496515118,,
64,1463.9471949756576,0.32175714220347335,1433.5586780808503,0.4582117654690917,,
65,1486.8057448971522,0.3267811633723365,1455.9427317685572,0.4676050459187146,,
66,1509.6642948186468,0.33180518454119967,1478.3267854562641,0.47713752112636565,,
67,1532.5228447401414,0.3368292057100628,1500.7108391439708,0.4868146118613855,,
68,1555.3813946616363,0.341853226878926,1523.094892831678,0.4966419349438106,,
69,1578.2399445831309,0.3468772480477892,1545.4789465193849,0.5066253086417852,,
70,1601.0984945046255,0.3519012692166523,1567.8630002070915,0.5167707580422198,,
