,pressure_Pa,fugacity_Pa,p/p0,uptake,metastable_gas,metastable_liq
0,1.0,0.9644947013479892,2.2310562195928443e-05,0.0008842137345088011,,
1,226.2302506155525,218.19787800332807,0.005047324076958763,0.1934941962791065,,
2,451.46050123110507,435.43126130530817,0.0100723375917216,0.37390540731484256,,
3,676.6907518466576,652.6646446072883,0.015097351106484434,0.5432411710459545,,
4,901.92100246221,869.8980279092683,0.020122364621247266,0.7024909975647626,,
5,1127.1512530777625,1087.1314112112484,0.0251473781360101,0.8525299333607634,,
6,1352.3815036933152,1304.3647945132286,0.03017239165077294,0.9941346513436706,,
7,1577.6117543088676,1521.5981778152086,0.035197405165535774,1.1279969068249993,,
8,1802.84200492442,1738.8315611171886,0.040222418680298605,1.2547348524797526,,
9,2028.0722555399725,1956.0649444191686,0.045247432195061436,1.3749026022629494,,
10,2253.302506155525,2173.298327721149,0.050272445709824275,1.488998354248591,,
11,2478.5327567710774,2390.5317110231285,0.055297459224587106,1.5974713200917954,,
12,2703.7630073866303,2607.765094325109,0.06032247273934995,1.7007276602785333,,
13,2928.9932580021828,2824.998477627089,0.06534748625411278,1.7991355864054217,,
14,3154.223508617735,3042.231860929069,0.07037249976887562,1.8930297619850112,,
15,3379.4537592332877,3259.4652442310494,0.07539751328363845,1.982715109800818,,
16,3604.68400984884,3476.698627533029,0.08042252679840128,2.0684701151787546,,
17,3829.9142604643926,3693.9320108350094,0.08544754031316412,2.1505496995824886,,
18,4055.144511079945,3911.165394136989,0.09047255382792695,2.229187726837829,,
19,4280.374761695498,4128.39877743897,0.0954975673426898,2.304599194412219,,
20,4505.60501231105,4345.632160740949,0.10052258085745262,2.37698215404349,,
21,4730.835262926604,4562.86554404293,0.10554759437221548,2.446519399269084,,
22,4956.065513542155,4780.0989273449095,0.11057260788697829,2.5133799517793154,,
23,5181.295764157708,4997.33231064689,0.11559762140174112,2.5777203737979075,,
24,5406.526014773261,5214.56569394887,0.12062263491650398,2.6396859297158057,,
25,5631.756265388813,5431.79907725085,0.1256476484312668,2.6994116168431104,,
26,5856.9865160043655,5649.03246055283,0.13067266194602964,2.7570230822955355,,
27,6082.2167666199175,5866.26584385481,0.13569767546079245,2.812637440613339,,
28,6307.44701723547,6083.499227156791,0.14072268897555532,2.8663640046540233,,
29,6532.677267851022,6300.73261045877,0.14574770249031813,2.9183049405489943,,
30,6757.907518466575,6517.96599376075,0.15077271600508096,2.9685558560219567,,
31,6983.137769082127,6735.19937706273,0.1557977295198438,3.017206330093382,,
32,7208.36801969768,6952.432760364711,0.16082274303460664,3.064340391108221,,
33,7433.598270313233,7169.666143666691,0.16584775654936948,3.110036949094778,,
34,7658.828520928785,7386.89952696867,0.17087277006413232,3.1543701876675794,,
35,7884.058771544338,7604.132910270651,0.17589778357889516,3.197409920006317,,
36,8109.28902215989,7821.366293572631,0.18092279709365797,3.2392219128590805,,
37,8334.519272775442,8038.59967687461,0.1859478106084208,3.2798681820169175,,
38,8559.749523390996,8255.833060176592,0.19097282412318367,3.3194072622759543,,
39,8784.979774006548,8473.06644347857,0.19599783763794648,3.357894454532128,,
40,9010.2100246221,8690.29982678055,0.20102285115270932,3.39538205233367,,
41,9235.440275237654,8907.533210082533,0.20604786466747216,3.431919549940015,,
42,9460.670525853206,9124.766593384511,0.211072878182235,3.467553833696293,,
43,9685.900776468758,9341.999976686491,0.2160978916969978,3.502329358325259,,
44,9911.13102708431,9559.233359988471,0.22112290521176065,3.5362883095576567,,
45,10136.361277699863,9776.466743290452,0.2261479187265235,3.569470754365241,,
46,10361.591528315415,9993.700126592432,0.23117293224128632,3.6019147799231637,,
47,10586.821778930967,10210.933509894412,0.23619794575604916,3.6336566223086035,,
48,10812.052029546521,10428.166893196392,0.24122295927081203,3.664730785837002,,
49,11037.282280162073,10645.400276498372,0.24624797278557484,3.6951701538449644,,
50,11262.512530777625,10862.63365980035,0.2512729863003377,3.725006091647161,,
51,11487.742781393177,11079.867043102331,0.2562979998151005,3.7542685423226416,,
52,11712.973032008731,11297.100426404313,0.26132301332986335,3.7829861159222555,,
53,11938.203282624283,11514.333809706292,0.26634802684462616,3.8111861726322145,,
54,12163.433533239835,11731.567193008272,0.271373040359389,3.8388949003787207,,
55,12388.663783855387,11948.800576310252,0.27639805387415184,3.866137387313623,,
56,12613.89403447094,12166.033959612232,0.2814230673889147,3.8929376895811307,,
57,12839.124285086493,12383.267342914212,0.2864480809036775,3.9193188947296997,,
58,13064.354535702045,12600.500726216193,0.2914730944184403,3.945303181101251,,
59,13289.584786317599,12817.734109518173,0.2964981079332032,3.9709118735008335,,
60,13514.81503693315,13034.967492820153,0.301523121447966,3.996165495423928,,
61,13740.045287548703,13252.200876122133,0.3065481349627288,4.0210838180951765,,
62,13965.275538164255,13469.434259424112,0.3115731484774917,4.045685906551055,,
63,14190.505788779808,13686.667642726094,0.31659816199225455,4.069990162979822,,
64,14415.73603939536,13903.901026028072,0.32162317550701736,4.09401436751478,,
65,14640.966290010912,14121.134409330052,0.32664818902178017,4.117775716660998,,
66,14866.196540626466,14338.367792632034,0.33167320253654303,4.141290859521241,,
67,15091.426791242018,14555.601175934013,0.33669821605130584,4.164575931973842,,
68,15316.65704185757,14772.834559235993,0.3417232295660687,4.187646588943272,,
69,15541.887292473122,14990.067942537973,0.3467482430808315,4.210518034893193,,
70,15767.117543088676,15207.301325839953,0.3517732565955944,4.23320505266193,,
71,15992.347793704228,15424.534709141933,0.3567982701103572,4.255722030750961,,
72,16217.57804431978,15641.768092443914,0.36182328362512,4.278082989168822,,
