,pressure,p/p0,fugacity,uptake
0,1.0,0.0002197873962310666,0.979242067610702,4.0015307538818705
1,23.85854992149465,0.0052438085650942275,23.363295755317573,4.385353184718521
2,46.7170998429893,0.010267829733957389,45.74734944302444,4.757709446671269
3,69.57564976448396,0.01529185090282055,68.13140313073131,5.119054159938062
4,92.4341996859786,0.02031587207168371,90.51545681843818,5.46378923276388
5,115.29274960747324,0.02533989324054687,112.89951050614505,5.792711298936426
6,138.1512995289679,0.030363914409410036,135.28356419385193,6.1057808762857775
7,161.00984945046255,0.035387935578273196,157.6676178815588,6.400207141299741
8,183.8683993719572,0.04041195674713635,180.05167156926566,6.675051774479749
9,206.72694929345184,0.045435977915999515,202.43572525697252,6.941216086841428
10,229.58549921494648,0.05045999908486267,224.8197789446794,7.2123005381241905
11,252.44404913644115,0.055484020253725834,247.20383263238628,7.499776546921378
12,275.3025990579358,0.060508041422589004,269.58788632009316,7.813840978960016
13,298.16114897943044,0.06553206259145215,291.9719400078,8.163434173430828
14,321.01969890092516,0.07055608376031533,314.3559936955069,8.557924130261936
15,343.8782488224197,0.07558010492917848,336.7400473832137,9.012845744122435
16,366.7367987439144,0.08060412609804164,359.12410107092063,9.563303243144372
17,389.59534866540906,0.0856281472669048,381.50815475862754,10.277804288672591
18,412.4538985869037,0.09065216843576795,403.89220844633434,11.201247535371593
19,435.31244850839835,0.09567618960463112,426.27626213404125,12.28460815832402
20,458.17099842989296,0.10070021077349428,448.6603158217481,13.551276964457884
21,481.02954835138763,0.10572423194235744,471.04436950945495,15.193033509712498
22,503.8880982728823,0.11074825311122061,493.42842319716186,17.549725295692312
23,526.7466481943769,0.11577227428008376,515.8124768848687,20.34271559596498
24,549.6051981158716,0.12079629544894693,538.1965305725756,23.345328309237246
25,572.4637480373663,0.1258203166178101,560.5805842602824,25.581393931449337
26,595.3222979588609,0.13084433778667323,582.9646379479893,26.75307099737395
27,618.1808478803555,0.1358683589555364,605.3486916356961,27.491755114074476
28,641.0393978018502,0.14089238012439959,627.732745323403,28.08534582372199
29,663.8979477233448,0.14591640129326272,650.11679901111,28.63519604672187
30,686.7564976448394,0.15094042246212588,672.5008526988167,29.16000082337681
31,709.6150475663342,0.15596444363098905,694.8849063865237,29.63839196215194
32,732.4735974878288,0.1609884647998522,717.2689600742306,30.047259532027155
33,755.3321474093234,0.16601248596871537,739.6530137619374,30.380797710000383
34,778.190697330818,0.1710365071375785,762.0370674496443,30.647344638747
35,801.0492472523127,0.1760605283064417,784.4211211373512,30.860258624227896
36,823.9077971738074,0.18108454947530483,806.805174825058,31.032436958469713
37,846.7663470953022,0.18610857064416805,829.189228512765,31.174507935774766
38,869.6248970167967,0.1911325918130312,851.5732822004718,31.294672433511227
39,892.4834469382913,0.19615661298189432,873.9573358881786,31.399047220239158
40,915.3419968597859,0.2011806341507575,896.3413895758855,31.492096761152357
41,938.2005467812807,0.20620465531962065,918.7254432635924,31.577030128278064
42,961.0590967027753,0.2112286764884838,941.1094969512992,31.656131211812507
43,983.9176466242699,0.21625269765734698,963.4935506390061,31.73101992311932
44,1006.7761965457646,0.22127671882621014,985.877604326713,31.80285212713301
45,1029.6347464672592,0.2263007399950733,1008.2616580144198,31.872468558716562
46,1052.4932963887538,0.23132476116393644,1030.6457117021266,31.940502353256946
47,1075.3518463102484,0.2363487823327996,1053.0297653898335,32.00745323518384
48,1098.2103962317433,0.24137280350166282,1075.4138190775407,32.07373490379317
49,1121.068946153238,0.24639682467052595,1097.7978727652473,32.139701093196955
50,1143.9274960747325,0.2514208458393891,1120.1819264529543,32.2056551704015
51,1166.7860459962271,0.25644486700825225,1142.5659801406612,32.271847847435716
52,1189.6445959177217,0.26146888817711544,1164.9500338283679,32.338467465768964
53,1212.5031458392164,0.2664929093459786,1187.3340875160748,32.40562720813859
54,1235.361695760711,0.2715169305148417,1209.7181412037817,32.4733533477635
55,1258.2202456822058,0.2765409516837049,1232.1021948914886,32.54157811059489
56,1281.0787956037004,0.2815649728525681,1254.4862485791955,32.610139802736924
57,1303.937345525195,0.28658899402143123,1276.8703022669024,32.678791542853524
58,1326.7958954466897,0.29161301519029437,1299.254355954609,32.747218378701795
59,1349.6544453681843,0.29663703635915756,1321.638409642316,32.81506102876452
60,1372.5129952896789,0.3016610575280207,1344.022463330023,32.88194330285177
61,1395.3715452111737,0.3066850786968839,1366.4065170177298,32.947499690888264
62,1418.2300951326683,0.3117090998657471,1388.7905707054367,33.01139977631991
63,1441.088645054163,0.3167331210346102,1411.1746243931436,33.073366934039406
64,1463.9471949756576,0.32175714220347335,1433.5586780808503,33.133189953089804
65,1486.8057448971522,0.3267811633723365,1455.9427317685572,33.19072745905762
66,1509.6642948186468,0.33180518454119967,1478.3267854562641,33.24590602441296
67,1532.5228447401414,0.3368292057100628,1500.7108391439708,33.298713489326026
68,1555.3813946616363,0.341853226878926,1523.094892831678,33.34918924541147
69,1578.2399445831309,0.3468772480477892,1545.4789465193849,33.397413134522026
70,1601.0984945046255,0.3519012692166523,1567.8630002070915,33.44349430592576
71,1623.95704442612,0.35692529038551546,1590.2470538947985,33.4875609802534
72,1646.8155943476147,0.36194931155437865,1612.6311075825054,33.5297516814779
73,1669.6741442691093,0.3669733327232418,1635.015161270212,33.57020817507206
74,1692.5326941906042,0.371997353892105,1657.3992149579192,33.60907011384543
75,1715.3912441120988,0.3770213750609681,1679.783268645626,33.64647124159977
76,1738.2497940335934,0.3820453962298313,1702.1673223333328,33.68253692450774
77,1761.108343955088,0.38706941739869444,1724.5513760210397,33.717382752486536
