,pressure_Pa,fugacity_Pa,p/p0,uptake
0,1.0,0.9644947013479892,2.2310562195928443e-05,3.358534103978821
1,226.2302506155525,218.19787800332807,0.005047324076958763,4.233980851899832
2,451.46050123110507,435.43126130530817,0.0100723375917216,4.468645877810773
3,676.6907518466576,652.6646446072883,0.015097351106484434,4.702250498132083
4,901.92100246221,869.8980279092683,0.020122364621247266,4.93912930361257
5,1127.1512530777625,1087.1314112112484,0.0251473781360101,5.175602588588937
6,1352.3815036933152,1304.3647945132286,0.03017239165077294,5.4106189632741
7,1577.6117543088676,1521.5981778152086,0.035197405165535774,5.638999600207237
8,1802.84200492442,1738.8315611171886,0.040222418680298605,5.854901623002864
9,2028.0722555399725,1956.0649444191686,0.045247432195061436,6.058578536019733
10,2253.302506155525,2173.298327721149,0.050272445709824275,6.254841521608949
11,2478.5327567710774,2390.5317110231285,0.055297459224587106,6.4495731981737325
12,2703.7630073866303,2607.765094325109,0.06032247273934995,6.649412604633507
13,2928.9932580021828,2824.998477627089,0.06534748625411278,6.861968700874291
14,3154.223508617735,3042.231860929069,0.07037249976887562,7.092838287668531
15,3379.4537592332877,3259.4652442310494,0.07539751328363845,7.3416782709282025
16,3604.68400984884,3476.698627533029,0.08042252679840128,7.604677448839699
17,3829.9142604643926,3693.9320108350094,0.08544754031316412,7.8829174542093705
18,4055.144511079945,3911.165394136989,0.09047255382792695,8.184736890066922
19,4280.374761695498,4128.39877743897,0.0954975673426898,8.516536974643154
20,4505.60501231105,4345.632160740949,0.10052258085745262,8.872876804704982
21,4730.835262926604,4562.86554404293,0.10554759437221548,9.24140350949725
22,4956.065513542155,4780.0989273449095,0.11057260788697829,9.618142844983872
23,5181.295764157708,4997.33231064689,0.11559762140174112,10.013381979857305
24,5406.526014773261,5214.56569394887,0.12062263491650398,10.447923536760477
25,5631.756265388813,5431.79907725085,0.1256476484312668,10.95705909018143
26,5856.9865160043655,5649.03246055283,0.13067266194602964,11.6035402500357
27,6082.2167666199175,5866.26584385481,0.13569767546079245,12.447714169544035
28,6307.44701723547,6083.499227156791,0.14072268897555532,13.43421194843972
29,6532.677267851022,6300.73261045877,0.14574770249031813,14.427598130790926
30,6757.907518466575,6517.96599376075,0.15077271600508096,15.440046541177926
31,6983.137769082127,6735.19937706273,0.1557977295198438,16.585171758037024
32,7208.36801969768,6952.432760364711,0.16082274303460664,17.83178141601822
33,7433.598270313233,7169.666143666691,0.16584775654936948,19.08458464093354
34,7658.828520928785,7386.89952696867,0.17087277006413232,20.31754076683747
35,7884.058771544338,7604.132910270651,0.17589778357889516,21.404291926848035
36,8109.28902215989,7821.366293572631,0.18092279709365797,22.262012666794178
37,8334.519272775442,8038.59967687461,0.1859478106084208,22.94456025744819
38,8559.749523390996,8255.833060176592,0.19097282412318367,23.53137556999036
39,8784.979774006548,8473.06644347857,0.19599783763794648,24.080720572949932
40,9010.2100246221,8690.29982678055,0.20102285115270932,24.624246373481764
41,9235.440275237654,8907.533210082533,0.20604786466747216,25.160206621965617
42,9460.670525853206,9124.766593384511,0.211072878182235,25.661632074083194
43,9685.900776468758,9341.999976686491,0.2160978916969978,26.104131595685185
44,9911.13102708431,9559.233359988471,0.22112290521176065,26.48343881789949
45,10136.361277699863,9776.466743290452,0.2261479187265235,26.80996511919493
46,10361.591528315415,9993.700126592432,0.23117293224128632,27.097157012690662
47,10586.821778930967,10210.933509894412,0.23619794575604916,27.355587459459922
48,10812.052029546521,10428.166893196392,0.24122295927081203,27.592160293953725
49,11037.282280162073,10645.400276498372,0.24624797278557484,27.811121174461864
50,11262.512530777625,10862.63365980035,0.2512729863003377,28.015152844103724
51,11487.742781393177,11079.867043102331,0.2562979998151005,28.206097936102772
52,11712.973032008731,11297.100426404313,0.26132301332986335,28.38533305614807
53,11938.203282624283,11514.333809706292,0.26634802684462616,28.553931107067626
54,12163.433533239835,11731.567193008272,0.271373040359389,28.712734803846317
55,12388.663783855387,11948.800576310252,0.27639805387415184,28.86241263292691
56,12613.89403447094,12166.033959612232,0.2814230673889147,29.003519101330838
57,12839.124285086493,12383.267342914212,0.2864480809036775,29.136552542440956
58,13064.354535702045,12600.500726216193,0.2914730944184403,29.26199734050128
59,13289.584786317599,12817.734109518173,0.2964981079332032,29.380344107683356
60,13514.81503693315,13034.967492820153,0.301523121447966,29.492090531587603
61,13740.045287548703,13252.200876122133,0.3065481349627288,29.597731007256396
62,13965.275538164255,13469.434259424112,0.3115731484774917,29.697743589044087
63,14190.505788779808,13686.667642726094,0.31659816199225455,29.792580059826278
64,14415.73603939536,13903.901026028072,0.32162317550701736,29.882661397082863
65,14640.966290010912,14121.134409330052,0.32664818902178017,29.968378194955342
66,14866.196540626466,14338.367792632034,0.33167320253654303,30.050094211662895
67,15091.426791242018,14555.601175934013,0.33669821605130584,30.12815097578122
68,15316.65704185757,14772.834559235993,0.3417232295660687,30.202871845289767
69,15541.887292473122,14990.067942537973,0.3467482430808315,30.274564623861895
70,15767.117543088676,15207.301325839953,0.3517732565955944,30.343522497359842
71,15992.347793704228,15424.534709141933,0.3567982701103572,30.41002351498326
72,16217.57804431978,15641.768092443914,0.36182328362512,30.474329079299658
73,16442.808294935334,15859.001475745894,0.3668482971398829,30.53668196777001
74,16668.038545550884,16076.234859047872,0.3718733106546457,30.597304349678698
75,16893.268796166438,16293.468242349854,0.37689832416940855,30.65639614625148
76,17118.49904678199,16510.701625651836,0.3819233376841714,30.71413395213944
77,17343.72929739754,16727.935008953813,0.38694835119893417,30.77067061943967
