,macrostate,P_up,P_down,term_1,term_2,term_3
0,0,0.08982587765200001,0.0,0.0,0.0,-0.0
1,11,0.068697019578,8.947548520999999e-05,-1.2044353446823114e-18,8.74639784627849e-40,-1.2719641873601798e-59
2,21,0.050572511664,0.00018067049565999999,-2.2986843739959357e-18,1.505752029442358e-39,-2.3444959365788834e-59
3,32,0.039623199776,0.00022226711847999999,-3.515494497629548e-18,2.3951347439680924e-39,-4.703901800940711e-59
4,43,0.03229470718,0.0001985531912,-4.731246936804957e-18,3.341679197441995e-39,-4.328216997336178e-59
5,53,0.02693822219,0.0019383658124999998,-5.649752735879388e-18,4.109544959268759e-39,-3.982856803503191e-59
6,64,0.022480326515000003,0.006491441117199999,-6.4321237958333596e-18,6.068312783714215e-39,-6.454712441035925e-59
7,75,0.018936905723,0.009681515371,-7.217620888734069e-18,8.53223224391035e-39,-7.703497509141749e-59
8,86,0.01625740581,0.012253590005,-8.011128594667545e-18,7.864607395593754e-39,1.1886199717207262e-58
9,96,0.014276596316,0.012932981129000001,-8.757934753942385e-18,1.08519467499083e-38,-1.4983650120629965e-58
10,107,0.013658568840000001,0.012491559373000002,-9.510082738006342e-18,1.0261985782297163e-38,-3.997214074838675e-59
11,118,0.012213192134,0.013941323139,-1.0275903138747034e-17,1.3165005204604955e-38,-1.0515273268314924e-58
12,128,0.012504699158000001,0.012931907283999998,-1.0959329627411688e-17,1.371480751807429e-38,-1.3934829454757873e-58
13,139,0.011708256473,0.012072084073999999,-1.1799643133042184e-17,2.112997873431515e-38,-6.783313844444939e-58
14,150,0.011109790127999999,0.009382941157700001,-1.2736122565790077e-17,1.92861732015242e-38,-5.780982125935233e-58
15,160,0.010974883579,0.010841398349,-1.3417592922014264e-17,1.912951416938867e-38,1.9491012785396678e-58
16,171,0.010421673349,0.0095572570794,-1.4234995480096377e-17,2.1519182706450324e-38,-2.540580081489606e-58
17,182,0.009722315381100001,0.009211547352,-1.516795107380566e-17,2.3066139739075672e-38,-3.9753480907443555e-58
18,193,0.0090386715737,0.009928999394700001,-1.595300229873127e-17,2.258919653652784e-38,-8.515019159100258e-58
19,203,0.009153773424200002,0.0097152765614,-1.663801085015181e-17,2.782610015392837e-38,2.5545460084371447e-58
20,214,0.008534635953800001,0.0061695766402,-1.7753905928286528e-17,2.466216181556129e-38,3.146863778962803e-58
21,225,0.0084477866354,0.0085810749391,-1.828188347217015e-17,3.148311894109062e-38,4.236257751623639e-58
22,235,0.0080950394387,0.007129558005399999,-1.9153639656578592e-17,2.972004828883613e-38,-9.83691122685185e-58
23,246,0.0072850703853000005,0.0074022645074,-2.003681981485142e-17,3.2044664050397726e-38,-1.0437229866233961e-57
24,257,0.007697420870499999,0.007783762904,-2.0813928558695447e-17,3.4488243381685476e-38,-1.1370351704805678e-57
25,267,0.0074646932393000005,0.006627410485199999,-2.157699751293193e-17,4.3696528529215524e-38,5.9833096386792206e-58
26,278,0.0072497015157,0.006707035351600001,-2.2403185633875358e-17,3.5197211297224254e-38,-3.234676169265941e-58
27,289,0.007610726454499999,0.0056888104787999995,-2.3204718367404908e-17,4.2125534247989034e-38,1.3287058594613052e-57
28,300,0.0060564122517,0.0062222827877,-2.4214533183866363e-17,4.1328794544278147e-38,-2.0614955328715062e-57
29,310,0.0063715865468000005,0.0062517036398,-2.483878445347223e-17,4.1939467399564813e-38,1.0047421648011642e-57
30,321,0.006642349442199999,0.0066178583358,-2.5507677436001603e-17,5.011721955920469e-38,2.8669226298887884e-57
31,332,0.0060498341371,0.0056853775154,-2.643399127719895e-17,4.7630414430038e-38,-1.3546496038806963e-58
32,342,0.006061870031100001,0.006117484801800001,-2.7144722421000075e-17,4.204080213713341e-38,1.5460404314215683e-57
33,353,0.0057813882952,0.0057495941966,-2.797983621858221e-17,6.318170199445558e-38,6.04764183636972e-57
34,364,0.0057596217955,0.005687166883,-2.8830663508887964e-17,5.103140903109612e-38,2.772392246630393e-58
35,374,0.0055217157404,0.004913758752699999,-2.969279537804657e-17,3.72334481088093e-38,-5.4985398298238295e-58
36,385,0.0052772341203000004,0.0045026993238999995,-3.059779963274857e-17,6.216895318446921e-38,3.1919440002763096e-57
37,396,0.0053727024583,0.0051655970823,-3.134126331086378e-17,6.076749184365906e-38,-1.5642525944653078e-57
38,407,0.005192364592399999,0.0052240891673,-3.217923203830833e-17,7.283270799658327e-38,1.7428702647220802e-58
39,417,0.0047858669677,0.0042067683686,-3.301860670211384e-17,4.86787401016384e-38,-2.0332635150438264e-58
40,428,0.0050006457611999995,0.0047146710785,-3.373812855115522e-17,4.5313714081221764e-38,9.341516607539249e-58
41,439,0.0048071132614,0.0045893162112,-3.471580344319437e-17,5.558975662481943e-38,-3.635040154194435e-57
42,449,0.0045907744125,0.0038888790086999995,-3.549397361516847e-17,7.16126873231844e-38,6.737173245463448e-58
43,460,0.0050006795699999995,0.004408875813,-3.6025228423324804e-17,5.469928513713314e-38,-5.532200015149517e-58
44,471,0.0047383677369,0.0044364490385,-3.693844975850347e-17,7.667983835099626e-38,4.487002708963564e-57
45,481,0.0049458385872,0.0046586415397,-3.761982211442283e-17,7.258594533307464e-38,3.082192776142782e-57
46,492,0.0044953337705,0.0044166029188,-3.855424687305015e-17,5.200429349658787e-38,-7.22594717279733e-58
47,503,0.0044185878614,0.0042351476969,-3.937695504475983e-17,4.869697369445097e-38,-8.117803485378679e-60
48,514,0.0042914737874,0.0039083900536,-4.033626506013964e-17,6.348476951859391e-38,2.7881361338537796e-57
49,524,0.0040905216881,0.0039047121411999995,-4.0985746486626215e-17,5.517006869027822e-38,2.2813783421718343e-57
50,535,0.004648990761899999,0.0039940455184,-4.166252608943284e-17,8.635873522899355e-38,7.176224495954561e-57
51,546,0.004787753790600001,0.0038949305156999996,-4.2517091012668545e-17,7.277629949614494e-38,-7.356946684262213e-58
52,556,0.0039008902173,0.0036171731674000005,-4.3476527857353056e-17,7.11687501787246e-38,-4.109374679794892e-57
53,567,0.0035509458256999995,0.0034064330975,-4.454136327758288e-17,6.014782794909515e-38,6.3574878724944665e-59
54,578,0.0039469697409,0.0035928558136999996,-4.5100837782596174e-17,1.1828354963611965e-37,-5.779208871772522e-57
55,588,0.004300306249,0.0037507059035999995,-4.5621813938604165e-17,6.125405887296372e-38,-3.244495106417378e-60
56,599,0.0035218046975,0.0036915919024000004,-4.6815113664422e-17,8.285089528099133e-38,8.093873394750905e-59
57,610,0.0036186387404000004,0.0035152472848,-4.75936497382931e-17,6.46063114632841e-38,-5.011200540368037e-59
58,621,0.003139974353,0.0030693517366,-4.8588241204646094e-17,7.952590207785354e-38,7.785954434748937e-57
59,631,0.0036998595898,0.0035417808249,-4.89923690147395e-17,6.4964647128892e-38,2.1538606109509952e-57
60,642,0.0031131645392,0.0033009944006,-5.006375837571936e-17,9.265158553656914e-38,-2.396111903745267e-57
61,653,0.0030949001933000004,0.0031106306184000006,-5.0867799391421505e-17,7.906680564794781e-38,4.1372616920387697e-57
62,663,0.0029793613260000002,0.002807296309,-5.206822266769186e-17,6.697972116492143e-38,-5.118899959929731e-57
63,674,0.0027160971948,0.0028491932360999997,-5.2739030446376756e-17,7.002346974951013e-38,4.591897389795787e-59
64,685,0.0023247243969,0.0025864547829,-5.3842003522460936e-17,7.952779064604224e-38,1.697889883382618e-58
65,695,0.0021886335442,0.0026827065383,-5.460304821917942e-17,6.611382870563472e-38,1.1706737508732094e-58
66,706,0.0019048240327,0.0024988853023000003,-5.563199858228026e-17,9.472226392631548e-38,4.8676455322799856e-58
67,717,0.001610012248,0.0023188847724,-5.667416155824405e-17,9.106134600098812e-38,3.276612369516577e-57
68,728,0.0014547853560999999,0.0021062370319,-5.76909532887598e-17,7.316260452111302e-38,2.927949967644666e-57
69,738,0.0014214045308000001,0.0024656178431999996,-5.834593834293044e-17,8.578717436538374e-38,-2.69983714707534e-57
70,749,0.0010810690748,0.0019843558680999996,-5.948756394460921e-17,7.776789817941639e-38,-4.3019039467069366e-57
71,760,0.0011143891771,0.0020622511532,-6.048351079295922e-17,6.994627929989419e-38,-1.1609296058681741e-58
72,770,0.00090980466867,0.0018441716177999999,-6.139459419463606e-17,6.367364525430922e-38,-2.889074416858674e-57
73,781,0.0007920127046,0.0020322677182999997,-6.234072769707732e-17,1.0780714629492153e-37,2.1038392622436502e-57
74,792,0.0006477455398400001,0.0019532006717999997,-6.340527855838125e-17,8.35671010099234e-38,-8.862100489036875e-58
75,802,0.00058643816545,0.0018303167864,-6.415624189900112e-17,7.385232449080182e-38,9.488061654666398e-58
76,813,0.00050700141873,0.0017570440664999999,-6.520632216358502e-17,7.274670215639855e-38,6.907611388525326e-58
77,824,0.00039222314674,0.0016458937153,-6.633247708843525e-17,7.920125222534532e-38,1.7070938266211214e-57
78,835,0.00033728636616,0.0017495939022,-6.710980293917355e-17,1.0156453000291234e-37,-3.262357025782216e-57
79,845,0.00027594400196,0.0014772251214,-6.828637843055018e-17,1.1443657349398686e-37,-2.945533655687055e-57
80,856,0.00027468640005,0.0016368302163,-6.899407487212602e-17,8.858422488286766e-38,4.515993459924072e-58
81,867,0.00021140327638999998,0.0014368239919,-7.011892124566309e-17,8.52732794522233e-38,3.394302010602299e-57
82,877,0.00017052763721,0.0014530727618,-7.105598259640054e-17,1.1478656561848024e-37,-2.6582869841122e-57
83,888,0.0001617744648,0.0014391990184999999,-7.216950657080065e-17,9.459804665801906e-38,-7.834615550728232e-58
