macrostate,P_up,P_down,term_1,term_2
0,0.063785226356,0.0,0.0,0.0
1,0.040057275693,0.049077091539,-5.088557633654155e-20,2.448778287674697e-40
2,0.029677289515,0.051296831462,-1.0237886427497358e-19,4.7311903922216276e-40
3,0.024095170699,0.043089568139,-1.5842502303398138e-19,7.415307673873144e-40
4,0.020507321717,0.032758959275,-2.2011167684895987e-19,1.0065303961509112e-39
5,0.018162716951,0.027809312021,-2.837352337922568e-19,1.334688825147816e-39
6,0.01604791991,0.020866276672,-3.575453068380592e-19,1.5731082636539713e-39
7,0.014549339905999999,0.018927596954000002,-4.293296315928171e-19,1.9962283863397763e-39
8,0.013386774853000001,0.016791057632,-4.993954296451868e-19,2.2134047953126268e-39
9,0.012232032115,0.011015375090000001,-5.85156492868228e-19,2.0454468409647537e-39
10,0.011563973186999999,0.015920000057000002,-6.337912275644709e-19,2.280845873784445e-39
11,0.010641134175,0.015536189569,-7.14278837208699e-19,2.6004776643027747e-39
12,0.0099750247134,0.015222976569,-7.831095473161782e-19,2.4782841485507706e-39
13,0.010152696239,0.014309924321,-8.314547276567848e-19,2.8923039490134022e-39
14,0.009528843881399999,0.011584328182000002,-9.121595314645815e-19,2.676798696177774e-39
15,0.008989303414,0.012176093164999999,-9.764635627707054e-19,3.1499693144689195e-39
16,0.0087485777352,0.013514381843999999,-1.0377306846054122e-18,3.562918179810938e-39
17,0.0085621382422,0.011847669132000001,-1.115552065062293e-18,3.059654043640213e-39
18,0.0083095000805,0.013667507407,-1.1648431370425725e-18,3.729405445966135e-39
19,0.0079162294178,0.012327683558,-1.2533340338027422e-18,4.297831011940691e-39
20,0.0083465341346,0.013359788403,-1.2968408874057423e-18,3.555534022556964e-39
21,0.0070315207519,0.010307705396,-1.4045735209955839e-18,3.3823852640000024e-39
22,0.007152695568,0.013713857446999999,-1.4385180747504136e-18,4.3865001158996616e-39
23,0.0069386306062,0.012652059671,-1.5092547064797395e-18,3.8070585419250006e-39
24,0.007049434514100001,0.011292560474,-1.5658167791017364e-18,4.276735684156464e-39
25,0.006509634719500001,0.011473270171000001,-1.6534214768609196e-18,4.313837859670435e-39
26,0.0065093534967,0.014493270078,-1.691243918258621e-18,3.803302453310763e-39
27,0.0067937273213,0.013087086558999999,-1.7554807782301395e-18,4.666475542012458e-39
28,0.0066036768428,0.011873061882,-1.8389943908212597e-18,4.994824277018697e-39
29,0.00651323051,0.009083941451399999,-1.927855340281854e-18,6.776559542650261e-39
30,0.005860120556899999,0.01116936372,-1.9727897262210426e-18,4.996144598277566e-39
31,0.0064120312451999995,0.01115422923,-2.0215962828365447e-18,5.902027140034893e-39
32,0.005987404232399999,0.010501694561,-2.1033003980342464e-18,5.857423196198542e-39
33,0.006260552502,0.012439788828,-2.154519915894541e-18,6.273079318538328e-39
34,0.0059153684664,0.011353617461,-2.2335234508332405e-18,6.30992543931322e-39
35,0.005805060333399999,0.010146172216000001,-2.3076057895975825e-18,7.368403727598537e-39
36,0.006501449269899999,0.0093302045135,-2.3681445568023516e-18,7.369538161342616e-39
37,0.0054927774694,0.0093545351297,-2.4757092845250907e-18,5.7016741682694567e-39
38,0.005716774196,0.010003694774,-2.501613510554791e-18,6.506226141294926e-39
39,0.0054010972114,0.010763778124,-2.5879318778942867e-18,8.737090337311167e-39
40,0.0057013810685,0.010403050194,-2.636096834706578e-18,7.830691025219712e-39
41,0.0050869401327,0.0111128482,-2.722899421532725e-18,7.508372590999024e-39
42,0.005459409733399999,0.010938728796999999,-2.7809491314013883e-18,7.020651816533673e-39
43,0.0046780996556,0.0087215463009,-2.855675170595169e-18,5.8681388045732074e-39
44,0.005340967805200001,0.0086427243277,-2.8744568434876855e-18,7.730204112100068e-39
45,0.005489260428899999,0.0080027065691,-2.9257349122738044e-18,8.572739477752456e-39
46,0.0050645961566999995,0.010234766962,-3.019688465184372e-18,7.883470857917761e-39
47,0.0049468708918,0.0084956234629,-3.048457575985675e-18,8.418122327043949e-39
48,0.0053632430721,0.01129979525,-3.1348404153482726e-18,8.638803523095458e-39
49,0.0048344425257,0.010767218041,-3.209172287885256e-18,9.210692813756983e-39
50,0.0052653389351999995,0.009444569229399999,-3.2964294286245223e-18,8.972804189156866e-39
51,0.0047041106638,0.010532386752,-3.3760884453490703e-18,8.357767218605083e-39
