macrostate,P_up,P_down
0,0.16688616957952782,0.0
10,0.07999944263894572,2.811494688466011e-09
21,0.05851064978708809,2.3812683857220048e-08
31,0.04811087847854288,4.814110730795889e-09
42,0.04022336138209975,2.0671727052144622e-07
52,0.035048002235576844,9.566127708140427e-08
63,0.03004202443760593,2.5856074101026133e-08
73,0.02630441850961846,5.368271199345208e-05
84,0.02558987124853337,0.0008275431945802205
94,0.024763833817057764,0.0014614205410898547
105,0.02408523964226398,0.002274970651590812
115,0.023361373915485144,0.0030299217078957144
126,0.022746214714349396,0.003989400681498741
136,0.022121755338268705,0.004896393376806321
147,0.021292111346202063,0.0047421561400269015
157,0.020980250345514814,0.005413838340851631
168,0.020263490088062268,0.006227428234271106
178,0.019579407577333157,0.005841662463197818
189,0.018845739385626854,0.005868767196599179
199,0.01836775671521109,0.006556618417769508
210,0.017613528149319654,0.00568659914163304
220,0.01727269912485358,0.006469462227288264
231,0.016961990189683154,0.006087103408842219
241,0.016464996669782527,0.00622068875164948
251,0.015622406998485824,0.005732495468479299
262,0.015200918568270515,0.005635512608835286
272,0.015142087742405592,0.005896419583041556
283,0.014295126687613107,0.005391936801040138
293,0.014191475535438015,0.0057096555311213545
304,0.0139938973996795,0.00592348228350956
314,0.013521838862083843,0.005726283783428281
325,0.0129723741845701,0.005419911866990265
335,0.012641397625059756,0.0050773535245605015
346,0.01218295655716844,0.005139726078846928
356,0.011608057059842324,0.0049637164044639215
367,0.011488562508965726,0.004737884672553941
377,0.010964519611846822,0.004342578710761911
388,0.010769375289418771,0.004637918252406715
398,0.010304080543152929,0.004310309501908984
409,0.009787158703102714,0.004096616929267062
419,0.009360413509457433,0.003920030181689821
430,0.009033141534208483,0.004173029665192401
440,0.008495239118932369,0.003848161960935132
451,0.007908682792056167,0.0037275004042186155
461,0.007609960185924134,0.003497634211688822
472,0.007287780840330643,0.0033241351973970637
482,0.0069104101625696735,0.0032948121107146395
493,0.00613346660712999,0.003141347936942255
503,0.005717544632286543,0.0027606047044820147
513,0.005118047749980241,0.0028245216508900866
524,0.004669572293762927,0.002607245294907112
534,0.004125745392941552,0.0025082046217547176
545,0.0035498147397078268,0.0022784297541701315
555,0.0031189907329170264,0.002135338927888999
566,0.0024931446723638986,0.0019287326009162023
576,0.002166049540695468,0.002013342060771322
587,0.0015569232351090366,0.001656986551263014
597,0.0011686318455776507,0.001489965112727548
608,0.0009225187512960423,0.001425015525655883
618,0.0006985407337214103,0.0014800749824415325
629,0.0006623175535866553,0.0015109782322342664
639,0.000549702189379361,0.001422857253330834
650,0.00033006676060410927,0.0015264536709162866
660,0.00023420638425695784,0.0015290007640149763
671,0.00021255065079129994,0.0016332245085639242
681,0.00016984449852645628,0.001802739824862402
692,0.0001026553758281404,0.0017370760904405105
702,9.440571938629576e-05,0.0017464978636970343
713,6.58762526411048e-05,0.001915264440606056
723,5.4681861697576514e-05,0.0020280103758792906
734,5.3403425983361985e-05,0.0020581572015590426
744,4.9562298963141736e-05,0.0022782621499276142
