,macrostate,P_up,P_down,term_1,term_2,term_3
0,0,0.0962838065,0.0,0.0,0.0,-0.0
1,1,0.1588178443,4.266e-07,-1.1010853955942207e-19,6.472201705118302e-41,-6.237561014155314e-61
2,2,0.1343262954,1.06919e-05,-2.197313819835475e-19,1.3416146804946335e-40,-1.4943705939917687e-60
3,3,0.1192173227,2.5731e-06,-3.306878446586899e-19,2.0743827508176207e-40,-2.4558367182491166e-60
4,4,0.1083190866,4.9186e-06,-4.394052358653162e-19,2.817532395762594e-40,-3.593891090008223e-60
5,5,0.0998034347,2.3268e-06,-5.505844208311232e-19,3.1745109384461545e-40,-2.935754015598498e-60
6,6,0.0934407928,2.8799e-06,-6.623181742752397e-19,3.933099563200225e-40,-3.9272560603858467e-60
7,7,0.0880455382,6.6805e-06,-7.713594785743247e-19,4.462123267722852e-40,-4.5180274039708855e-60
8,8,0.0833870032,8.7641e-06,-8.79083720463945e-19,5.44988413398181e-40,-5.436753763855138e-60
9,9,0.0797697722,9.9094e-06,-9.95262465508971e-19,5.465327688914484e-40,-5.5106399035676e-60
10,10,0.0762195387,5.5677e-06,-1.1016966531383888e-18,6.154737775595041e-40,-5.924785410504449e-60
11,11,0.073243644,2.0597e-06,-1.2126116901537246e-18,7.111667767630519e-40,-7.52407174470874e-60
12,12,0.0702115342,2.56463e-05,-1.3202062596412436e-18,8.325875781472615e-40,-9.32272571260156e-60
13,13,0.068155625,5.5792e-06,-1.433433854253553e-18,8.383538011100083e-40,-9.416331163380543e-60
14,14,0.0659750552,2.44664e-05,-1.5402178412054319e-18,9.504931046152987e-40,-9.899760527706103e-60
15,15,0.0636327599,3.61684e-05,-1.6501042929301564e-18,1.069309257258164e-39,-1.3713042889122922e-59
16,16,0.0621029465,2.27809e-05,-1.7653116847103596e-18,9.841166189045251e-40,-8.946364289381741e-60
17,17,0.0605039975,5.0934e-06,-1.880771438296551e-18,1.1031941656895788e-39,-1.0069845084031964e-59
18,18,0.0585744155,3.8848e-06,-1.9861876862904887e-18,1.1607104484247398e-39,-1.0772534805950424e-59
19,19,0.0567271856,9.46644e-05,-2.090923504854522e-18,1.360982371084677e-39,-1.627683623598405e-59
20,20,0.0558392788,3.89834e-05,-2.2064350088655046e-18,1.4291958107680048e-39,-2.1795158379973046e-59
21,21,0.0545704419,1.95625e-05,-2.3170631843707586e-18,1.4220944832499077e-39,-1.0322460922974672e-59
22,22,0.0528167401,4.9349e-06,-2.424390512150044e-18,1.3674754429918447e-39,-1.6621138394566611e-59
23,23,0.0517995248,8.06943e-05,-2.524371807234805e-18,1.7913931705293424e-39,-2.0257318125685236e-59
24,24,0.0507197058,2.8939e-06,-2.650711938175829e-18,1.4379472353873536e-39,-1.0456021868911866e-59
25,25,0.0495859509,9.64617e-05,-2.753793298999011e-18,1.6828124395069074e-39,-2.25260214016976e-59
26,26,0.0484418263,0.0001239207,-2.860679030615147e-18,1.8938677197820498e-39,-2.1137982552747317e-59
27,27,0.0474215627,7.91352e-05,-2.9728051174649506e-18,1.884674677967468e-39,-2.2846156519027655e-59
28,28,0.0465585247,8.88359e-05,-3.0880919173992376e-18,2.277617931816783e-39,-4.770163972259903e-59
29,29,0.0457328672,5.64882e-05,-3.1921124356408087e-18,2.2450786265534838e-39,-3.8541888146706326e-59
30,30,0.044908522,6.2989e-05,-3.3054124842837686e-18,2.123633267035858e-39,-2.8091294023232863e-59
31,31,0.0439247232,0.0001438744,-3.4093985748545384e-18,2.4128881213216053e-39,-3.6801174836110845e-59
32,32,0.0426092112,6.8438e-05,-3.536594563249991e-18,2.4639808544969015e-39,-3.6009819431216127e-59
33,33,0.0422018509,4.19441e-05,-3.642425907656363e-18,2.4270682225134337e-39,-2.9367339553448952e-59
34,34,0.0409982174,1.99089e-05,-3.753112274378094e-18,2.3152003060432723e-39,-2.513481677553544e-59
