macrostate,P_up,P_down
0,0.15438352755461174,0.0
10,0.07610092134639705,2.5899701081997532e-09
21,0.054818842785479396,1.354280453290155e-08
31,0.0454308304332989,2.4821972621334282e-08
42,0.038096463140664866,1.4576218256559455e-08
52,0.03269371671058863,8.434511662464748e-08
63,0.027909208539548567,2.1941239840839513e-08
73,0.024457059384314805,9.142191926446539e-05
84,0.02351032991426874,0.0012472662878922345
94,0.022593223026030358,0.002139623378347968
105,0.02196252831202538,0.0029723000304508413
115,0.021403410955929028,0.003978596806534965
126,0.020699851593906794,0.004964491134237658
136,0.02024614446620893,0.0055993467744674995
147,0.019487022567995414,0.006306502794881258
157,0.01915362862435098,0.007667555270193773
168,0.018454414174504268,0.007795861693342733
178,0.01789888636417682,0.007889252976548976
189,0.0173510512602907,0.008206548739980675
199,0.016720533994872815,0.007457244275909706
210,0.016310910436588087,0.007921732212291737
220,0.01568731702091825,0.007498823732240412
231,0.015174253962408268,0.0073596446791720045
241,0.014987516989939179,0.007587330076373143
251,0.014258130635459098,0.007495313890414378
262,0.0139235149159667,0.00725891542534147
272,0.013671577400844355,0.006984032955487523
283,0.01306016134823743,0.00678750812103793
293,0.012891826251024708,0.007424758915261843
304,0.012510509416626665,0.007179629504397159
314,0.012278338622337083,0.006745725179839494
325,0.011746807575450637,0.00705224828723775
335,0.011492921020899494,0.006280827068654668
346,0.01089263737840658,0.006233284048315996
356,0.01069577023226458,0.006083214109978048
367,0.010071479012736344,0.006122067261227186
377,0.009905939782285166,0.005960977489310458
388,0.009604447435798648,0.005800485034657883
398,0.009326276553949313,0.0057039974033569855
409,0.008847171944715635,0.005441462349079183
419,0.008370035978769818,0.005073257815385695
430,0.008119015099935257,0.005108848671281365
440,0.007844082184504038,0.005035704270719049
451,0.007550519092004488,0.004959775190751137
461,0.007029798157628421,0.004707529419162716
472,0.006517952381513855,0.004221944947665756
482,0.006085560962909461,0.0042575017867648
493,0.005669735402547745,0.004016978541951819
503,0.005139082672260778,0.003769385667077486
513,0.004744961580532353,0.003649644957996946
524,0.004237678386433444,0.0033890112741242545
534,0.003692347214011898,0.0032032815870701196
545,0.0033197493196627575,0.002914829905154738
555,0.002674069198355124,0.002562682215158345
566,0.0024836237495852492,0.0027055083458683614
576,0.0020604585076152504,0.0025605422849836012
587,0.0016511663030871538,0.0022746816347043643
597,0.0010708812474417215,0.0020551645084521315
608,0.0009990073745978062,0.0020907854062637427
618,0.0007399357413263031,0.001861167169183168
629,0.0004889972116338651,0.0019150707531838333
639,0.0004466314913395133,0.002150806925167511
650,0.0002971673796217466,0.002179305187056607
660,0.0002896074936379918,0.002323256336749522
671,0.00017652710055693469,0.002238884155023369
681,0.000149732776415448,0.0024386964618681494
692,0.0001019970639653858,0.002278599541249919
702,0.00012553693191748072,0.0027271909110548613
713,5.988061769901233e-05,0.0025867398111917086
723,5.090602514234227e-05,0.00274588220276503
734,4.579835874263348e-05,0.002274877890968321
744,4.0805992361387474e-05,0.002956550529100187
