,macrostate,P_up,P_down,term_1,term_2,term_3
0,0,0.073187644935,0.0,0.0,0.0,-0.0
1,11,0.05748664006799999,0.00017292806874999998,-1.2015975247055785e-18,8.798333733246741e-40,-9.103011981543174e-60
2,21,0.041641916515,0.00018024936269999997,-2.2828007891905746e-18,1.9805772296041424e-39,-2.8569186651678543e-59
3,32,0.032167580241,0.00031019773957999996,-3.494903976254965e-18,2.8718153701658036e-39,-4.594343071289982e-59
4,43,0.025653523701999997,0.0014395171294,-4.652096883663489e-18,5.420315985674441e-39,-1.05463700408876e-58
5,53,0.021180210476,0.0044540573051,-5.5835849502347865e-18,5.7129418701464536e-39,-8.765251004886276e-59
6,64,0.017509539343,0.011714247244,-6.367824027717198e-18,6.77430091046311e-39,-6.67987181891749e-59
7,75,0.014949888114,0.018142444663,-7.093878107801797e-18,6.88629254453971e-39,-7.317996028149744e-59
8,86,0.012956921566000002,0.022408878942999998,-7.85581412234883e-18,1.131691048404096e-38,2.7428565068228453e-59
9,96,0.011488509386,0.022700978493,-8.573068590198404e-18,1.0948896909736306e-38,-1.9872588322921533e-58
10,107,0.010729673995999998,0.022514212245,-9.312913320504808e-18,1.5326874857117962e-38,-3.6856451875001625e-58
11,118,0.0096397924118,0.022935355315999998,-1.0117253079224201e-17,1.740652402791074e-38,-1.5914486527233515e-58
12,128,0.009997807418700001,0.021623295737,-1.080471358307975e-17,1.7864716216826422e-38,-1.964351845135047e-58
13,139,0.008896462110399999,0.021108969907,-1.1585471443933597e-17,2.1521676859852648e-38,-8.239959129835372e-58
14,150,0.008440721875,0.021396711183000003,-1.243729801471247e-17,2.220890857069718e-38,6.327041979404587e-59
15,160,0.0083996108598,0.019490427168,-1.3098932515021077e-17,2.9973861338262437e-38,1.5204675121689924e-57
16,171,0.007718957145699999,0.019573488075999998,-1.3930818248444686e-17,2.4012913570887473e-38,-3.879074274175278e-58
17,182,0.0074890481138,0.017126168575,-1.4757517910320137e-17,2.410265738896628e-38,-2.3487054424036882e-58
18,193,0.0072133614483,0.017942766756,-1.55595529185616e-17,3.3357706540640596e-38,-8.446985939366703e-58
19,203,0.006875969427199999,0.015827523314,-1.634350280184355e-17,4.0578640991335687e-38,-1.8245730931102635e-58
20,214,0.006504158235000001,0.016106383826999998,-1.7183316393319307e-17,2.7655624164234975e-38,-8.854378988968728e-58
21,225,0.0062726572343999995,0.013732539724,-1.8129363061554767e-17,3.111704600348886e-38,-2.4928331741811852e-58
22,235,0.0057237496266,0.014504751925999999,-1.8872737455444975e-17,3.862702032293769e-38,-7.475924871676109e-58
23,246,0.0057096067811000005,0.015408981717000001,-1.9663519861757164e-17,3.0523558237399816e-38,7.835635389718174e-58
24,257,0.0057980235459,0.01351043565,-2.0358595669267025e-17,3.7533704646189177e-38,8.982380904389284e-58
25,267,0.0059236523238000004,0.013765671521,-2.0956650158579992e-17,4.676090148259046e-38,4.048335370690477e-58
26,278,0.0051400543012,0.010587546859,-2.2117231356483282e-17,4.088280354537965e-38,-1.5433012561541277e-57
27,289,0.0051514332971,0.012098812572999999,-2.2762633100967522e-17,5.203421423539037e-38,8.626811421046906e-59
28,300,0.0048759810786,0.011449830367000001,-2.3672701787162602e-17,3.7691936326943456e-38,-2.6299699652789635e-57
29,310,0.0049694269555,0.01154179343,-2.4245936448629208e-17,4.996082911295967e-38,7.751008390722213e-58
30,321,0.0049511148061000005,0.01068862108,-2.5048898251375292e-17,5.336580492979366e-38,-2.0502562013202608e-57
31,332,0.0044636442483000005,0.011415574203000002,-2.5920343488407913e-17,5.848456710881692e-38,2.3523142711503552e-57
32,342,0.0044443723653,0.011066032907,-2.666525313882175e-17,5.97149134774559e-38,-2.7580796102652765e-57
33,353,0.0041639201839,0.0092807816693,-2.7641025475400678e-17,5.008147188594486e-38,-3.83470754578505e-58
34,364,0.004396536913,0.010515036811,-2.82302346133024e-17,4.814130452583263e-38,1.8632374441319625e-58
35,374,0.0040557624036,0.009738896860299998,-2.907267390294875e-17,5.244329972337647e-38,-3.1036383835503996e-57
36,385,0.0041148711128,0.0095994314088,-2.9921040097391965e-17,9.104104294504752e-38,4.7279065092848787e-57
37,396,0.004488421320100001,0.010128946405,-3.0520074347912304e-17,5.520748579957402e-38,-2.1551492560192627e-57
38,407,0.0039359315584,0.008683407567799999,-3.1533986208481e-17,5.812613639567609e-38,1.029954517706953e-57
39,417,0.004124862925,0.009292495369,-3.209685185140902e-17,6.598651783799875e-38,3.022701129726518e-57
40,428,0.0035460334098000004,0.008290991546,-3.324728176740057e-17,5.640299207382009e-38,1.73742834976721e-57
41,439,0.0035608864856,0.0085928776976,-3.3840973392560673e-17,6.654821887840896e-38,1.2398125625274216e-57
42,449,0.0041405941396,0.0091199927104,-3.440420279498946e-17,6.497959196452687e-38,1.4291161512950542e-57
43,460,0.003528154886,0.0077012011848,-3.549552522219082e-17,7.515000299184245e-38,-5.385223269995671e-57
44,471,0.0033836870606,0.008296734672399999,-3.6365696780696546e-17,6.499708312933096e-38,-3.5536340735962345e-58
45,481,0.0035533153664,0.0079657339003,-3.710069236551537e-17,9.135974281191913e-38,9.292619003672088e-59
46,492,0.0036957689519,0.0083267665317,-3.772082376865235e-17,7.910842313314001e-38,-2.163209734220014e-57
47,503,0.0036230143703000002,0.0080301943672,-3.853526002247145e-17,7.134800653315364e-38,-2.1992476310335143e-58
48,514,0.0030569546338000005,0.0080312319973,-3.9563635820772937e-17,7.001574956999626e-38,-1.4972896497271618e-57
49,524,0.0031838299587,0.008572117087300001,-4.011231248823145e-17,7.125805378993257e-38,-2.780992385106842e-57
50,535,0.0030213339305999996,0.007163126760699999,-4.104467845124722e-17,7.382864050638753e-38,-3.255976088006857e-57
51,546,0.0031313801474999996,0.0073194144755,-4.1876314448363694e-17,6.901363303205331e-38,1.8896701578671474e-57
52,556,0.0029102686745999997,0.0071301086247,-4.2702896451229276e-17,1.1154182524914304e-37,1.196096058099167e-57
53,567,0.0032446549365,0.0077121205782,-4.335124496957127e-17,8.902867392959352e-38,-1.66622483470267e-57
