macrostate,P_up,P_down,term_1,term_2
0,0.056128237677999994,0.0,0.0,0.0
10,0.008934576052299999,0.01818772599,-6.435470984960989e-19,3.0125867482629925e-39
20,0.0062256370894,0.022156201623999998,-1.2518281309788158e-18,7.038128328232318e-39
30,0.0051142912055,0.020275607438999997,-1.8877642647074116e-18,8.920206532599927e-39
40,0.0043648724586999995,0.01579990035,-2.481659621761464e-18,9.526666718142507e-39
50,0.0037857965881,0.014030892925,-3.1624516846631995e-18,8.231243912755177e-39
60,0.0034636135119,0.015073633563,-3.815630449513929e-18,1.0735807340217413e-38
70,0.003314187321,0.01114350514,-4.444328987067799e-18,2.1205061280945983e-38
80,0.0030160992826,0.014372076853,-5.170999160669369e-18,1.2582138661799038e-38
90,0.0028762629676999996,0.013392379221,-5.765488428959034e-18,1.9141086390895432e-38
100,0.0030161986056999996,0.010847662143999999,-6.459170460783955e-18,1.6889316952225487e-38
110,0.0027021992900999998,0.0096854090677,-7.204125828295497e-18,2.0896513189323515e-38
120,0.0026994522832,0.0093321970229,-7.655951012449531e-18,2.830725488049559e-38
130,0.0024160456091,0.010692999598,-8.458133942311493e-18,2.1069527617083526e-38
140,0.0023439081931,0.00899431745,-9.034446747808226e-18,2.1120125000486085e-38
150,0.0020536316974,0.0088448606699,-9.754739802814043e-18,2.4675911204739926e-38
160,0.0021955684399000003,0.010063731223,-1.0450430779763487e-17,3.0069487709107793e-38
170,0.0019453349968000001,0.006826619402600001,-1.1142394423499533e-17,2.452659299423202e-38
180,0.0019014379157999998,0.0086927086776,-1.1816415059133406e-17,2.8297120777539984e-38
190,0.0018139716858,0.0079389620129,-1.2538725660321682e-17,3.034341502878558e-38
200,0.0019913779827999997,0.009740322565,-1.3016041168900512e-17,4.3324906053099523e-38
210,0.0021414086432,0.0077005331524999995,-1.3585595134766124e-17,5.409955707680353e-38
220,0.0021673643239,0.007592270264600001,-1.4244944400977878e-17,3.8179806756387294e-38
230,0.0019388790617,0.0085471686055,-1.4854154773740645e-17,5.486543185345222e-38
240,0.0020933945898,0.0080772438511,-1.5564312568583164e-17,4.2124555666678574e-38
250,0.0019459831422,0.0073108999361,-1.627424544597126e-17,3.578509252584649e-38
260,0.0017951354822999999,0.0069176837778,-1.6973601054923887e-17,4.716831343195366e-38
270,0.0020348879929,0.0077478781848999995,-1.753794376781919e-17,7.93095225528603e-38
