macrostate,P_up,P_down,term_1,term_2
0,0.058558979582,0.0,0.0,0.0
10,0.01041330828,0.026530603873999997,-5.876371871833869e-19,2.5595795636547227e-39
20,0.0068812889393,0.014738990896999999,-1.2827228860266289e-18,4.638478858232611e-39
30,0.0050442644138,0.01151685186,-1.867298406266945e-18,5.144807098125527e-39
40,0.0049181756401,0.013764042479,-2.584445945059976e-18,9.899167970023068e-39
50,0.0044398852234,0.015152780459,-3.172158864539605e-18,1.0003471797059853e-38
60,0.0036344983583,0.0095188010329,-3.940044778910191e-18,1.230669763452065e-38
70,0.0033141791346,0.012365258212,-4.584096364702728e-18,1.310928157911031e-38
80,0.0031559866912,0.0085914126858,-5.1511011280106876e-18,1.2848455948039957e-38
90,0.0029726090362,0.0098389535568,-5.8019155090277204e-18,1.7371514408145401e-38
100,0.0027675789397,0.010451681468,-6.537495035879692e-18,1.5308772643129937e-38
110,0.0027359284547,0.0093384731904,-7.145762546930514e-18,2.313221389798928e-38
120,0.0024222401616999997,0.0092588922934,-7.898199457762623e-18,2.0556431204429053e-38
130,0.0027310647409000003,0.0094639638714,-8.370484312740376e-18,1.7123787611736396e-38
140,0.0025976110933,0.0097954610845,-9.07566062651606e-18,3.7308282847178795e-38
150,0.0021523249333000004,0.0071850404068,-9.890572751626594e-18,2.365619682542107e-38
160,0.0020570822420999998,0.006174632636400001,-1.0604306669925428e-17,2.124851952703889e-38
170,0.002444112241,0.0071315487478000004,-1.1101446575703591e-17,2.821383759253289e-38
180,0.0022393155956999997,0.007001397484,-1.1852660232153798e-17,3.247680711537895e-38
190,0.002223767886,0.0059694077932,-1.2403446400626216e-17,3.1333523093951824e-38
200,0.0022651031879000003,0.0077787420235000005,-1.323881784688811e-17,3.075778208951959e-38
210,0.0022614224397,0.0067348997426000005,-1.3687176416711906e-17,3.6191860194350065e-38
220,0.0022112256275,0.0074872869398,-1.4329450648964778e-17,3.775549729636163e-38
230,0.0025275175898,0.0063071223925,-1.4895361729612608e-17,4.3867331848383124e-38
240,0.0022441756034,0.0065715452733999995,-1.5581073753110435e-17,5.111755691380047e-38
250,0.0020261760398,0.0063963687696,-1.6434199448228983e-17,3.5837324583820377e-38
260,0.0023651027372,0.0064986929522,-1.681391119720562e-17,4.724407228853607e-38
270,0.0022477692976,0.006594479390999999,-1.7657612435292472e-17,5.241695383641064e-38
280,0.001931968718,0.005784034138,-1.8402278870506854e-17,4.5974841011698293e-38
290,0.0021714393081999996,0.0062816097357999996,-1.8937652238738676e-17,4.678187838840049e-38
300,0.0021553291374000003,0.0055319731101,-1.9675852070116534e-17,6.255737098837378e-38
310,0.0022230100354999997,0.0061447184439999995,-2.0203979996539056e-17,6.491220770543028e-38
320,0.0021781007619,0.0058898789313,-2.0855456926470077e-17,7.613609089456076e-38
330,0.0022340176664000003,0.005353682102399999,-2.1683485569442572e-17,5.241290449528345e-38
340,0.0022685447931,0.0063949610419,-2.2067102572624237e-17,5.180925711878362e-38
350,0.0021536726535,0.0050740449538000006,-2.2974663110107966e-17,5.064384702592489e-38
360,0.0023739672931,0.0055210910202,-2.3424569990293674e-17,8.709475030521645e-38
370,0.0023802307103000003,0.0056886223585000005,-2.4012217381672013e-17,5.45921382394663e-38
380,0.0024955329024,0.005692182220399999,-2.4573184384958556e-17,7.378741532027687e-38
390,0.0022106023059,0.0056870990967,-2.55263812657228e-17,8.917748785242442e-38
400,0.0022454917904000003,0.0052278627481,-2.6216646144620556e-17,1.1621942978700725e-37
410,0.0022789688977,0.0046896639043999995,-2.673035886009197e-17,8.096414796580466e-38
420,0.0024034444287,0.0047988503694999995,-2.7506880236322312e-17,9.795802690167319e-38
430,0.0020795162995999998,0.0048693061837,-2.839104966776352e-17,6.49946189942195e-38
440,0.0021843918604999998,0.004940139529899999,-2.8987872526754617e-17,1.671377948952264e-37
450,0.0020317291496,0.0048899144246000005,-2.9793693973264344e-17,9.278755523542142e-38
460,0.0022341447511999997,0.0047392180088,-3.030086106385177e-17,8.417600277319834e-38
470,0.0019172813700999998,0.0040897291546,-3.138979959332252e-17,6.42000325951438e-38
480,0.0019739150894,0.0041118588160999996,-3.186716770596717e-17,9.11716037708968e-38
490,0.0022827077771,0.0041220650046,-3.221195909741731e-17,1.276507503780237e-37
500,0.0023245432335,0.0041744576917,-3.2949145140926054e-17,7.421945907128708e-38
510,0.0023778066909,0.0040070348196,-3.3442145829740586e-17,7.572754382138371e-38
520,0.0019909596439,0.0041762611583,-3.473730228311579e-17,8.203695405857676e-38
530,0.0024357896588000005,0.0037304527543000005,-3.484139120193284e-17,7.327775177374104e-38
540,0.0022969619956999996,0.0039537988859,-3.5757763996627196e-17,7.991881498337633e-38
550,0.0019681138292,0.0036353118356,-3.661118028972363e-17,7.327062457679925e-38
560,0.0021768811963000004,0.0033849313382,-3.7302488638727434e-17,1.6586883959532884e-37
570,0.0024424835194,0.0035899658289000004,-3.773790903187435e-17,1.5428957753004223e-37
580,0.0022503386551,0.0033917573539,-3.8483250500136765e-17,9.42663508190494e-38
590,0.0023954065801,0.0036384990708999997,-3.9188741290534657e-17,8.263343325947732e-38
600,0.0025076733947,0.0036639210485,-3.970678624655182e-17,1.2236029340418085e-37
610,0.0024791209170999997,0.0033127754531999997,-4.051117989026812e-17,9.607930174128644e-38
620,0.0021942740724,0.0037190641495999997,-4.1519772197097484e-17,8.730181694357662e-38
630,0.0022669759483000002,0.0033571822783000005,-4.218269504540719e-17,9.130408963461682e-38
640,0.0024008256946,0.0034271510315,-4.28068034422742e-17,8.03784011549503e-38
650,0.0025282669149,0.0033206567381,-4.340489363194562e-17,9.399415123740779e-38
660,0.0022599101503000003,0.0031757579716,-4.421143875178797e-17,7.048144273250478e-38
670,0.0026696810144,0.0033509540395999997,-4.477647834945207e-17,8.412608114866069e-38
680,0.0023570825024000004,0.0031707733207,-4.571496894620894e-17,1.095101500510757e-37
690,0.0026305239002,0.0032827505688000007,-4.617337867533667e-17,1.0162433149014134e-37
700,0.0024826234483,0.0029892532551999995,-4.6961532300466877e-17,7.883836880397018e-38
710,0.002312962208,0.0028735161468,-4.779682542433059e-17,8.795854760639879e-38
720,0.0025384760569,0.0028757506361,-4.8643812667553616e-17,1.3123030157548534e-37
730,0.0025117130716999997,0.0029830943209,-4.923198302248633e-17,1.0639581321337467e-37
740,0.0024461343776999997,0.0028626764010999998,-5.0090871638010685e-17,1.311057453397274e-37
750,0.002379488151,0.0028691187348000003,-5.0947655952556844e-17,9.392969255320676e-38
760,0.0024571674209000003,0.0029986385801999997,-5.150769585680247e-17,9.535796419429243e-38
770,0.0023796772465999997,0.003115957961,-5.2234032177655116e-17,1.1689195400457845e-37
780,0.0020964082782,0.0030544485863000003,-5.301157382854853e-17,1.0869524430271468e-37
790,0.0021413105258,0.00285700793,-5.3879185185554283e-17,9.788141879146643e-38
800,0.0018632990369,0.0028049411782,-5.466113828058826e-17,9.672915014394338e-38
810,0.0020617074607,0.0033975952185,-5.523175941158804e-17,1.2742473470512766e-37
820,0.0020718546090999997,0.0028312504628,-5.60448452763156e-17,9.178936707453488e-38
830,0.0021136198324,0.0034130491011,-5.65856833717427e-17,1.1952824013939011e-37
840,0.0018954670589000002,0.0033135473717,-5.742630434994651e-17,1.0978458406521235e-37
850,0.0023895925123000004,0.0030179162894000003,-5.814914425559117e-17,1.4175652782665501e-37
860,0.0020289930773,0.0032831780835999996,-5.868075022053323e-17,1.4510997365238167e-37
870,0.0021111683017,0.002863555953,-5.960345558216157e-17,1.0264891527592122e-37
880,0.0021696981302,0.0031269697830999996,-6.018504369453337e-17,1.3060742355417671e-37
890,0.0024178115220000003,0.0034980057983,-6.066825178471835e-17,8.679019272099582e-38
900,0.0024120123253,0.0033929687734,-6.148565152280954e-17,1.0360990048532883e-37
910,0.0024132940523,0.0034901747415000003,-6.223329088137016e-17,1.0853663308150295e-37
920,0.0017737586371999999,0.0028797962258999997,-6.33829315901422e-17,1.1913826605489926e-37
930,0.0018806350345,0.0031070606628000002,-6.392607120528325e-17,1.0281004801432176e-37
940,0.0026822772631,0.003128849996,-6.436916860438095e-17,9.832198498828296e-38
950,0.0024491773091999997,0.003233432152,-6.503946196945026e-17,1.064927995546003e-37
