macrostate,P_up,P_down
0,0.1312104578774862,0.0
10,0.06812233660628027,1.6625267581034937e-08
21,0.04904009591555554,6.654637016396051e-08
31,0.04000811684697516,4.694550160204676e-07
42,0.03342536659689781,2.366776627335978e-07
52,0.0284840635452186,1.2053320728505389e-05
63,0.024128794662163007,3.07785301179189e-07
73,0.020936855442238722,0.00020574816384890732
84,0.01987598473415755,0.0019636328151079697
94,0.019187011029420303,0.0033348400485319865
105,0.018475031351849462,0.005406278463355667
115,0.017971491560590525,0.006593628395941569
126,0.017328216278936538,0.007898967862303898
136,0.01668338174861934,0.008714166855394133
147,0.01630654789710722,0.009533511411136278
157,0.01563491309683445,0.010563541149661996
168,0.015088260891722787,0.010325707375539674
178,0.014662244264726811,0.011324980574012941
189,0.014397743011795394,0.011422062399292403
199,0.014112638324009549,0.011982930954330786
210,0.013416498917919944,0.011395562684809393
220,0.013150323132306362,0.011815263171939167
231,0.012667931536315567,0.011398215024923025
241,0.012449651664944524,0.011610976129516322
251,0.012050573057366714,0.011626701297765496
262,0.011698208153866605,0.01102731365872963
272,0.01138063798988539,0.01143128510664492
283,0.01094624054075928,0.011508579550613353
293,0.010613988649148946,0.010871830100236419
304,0.010247040187664537,0.010220014430296418
314,0.010124687025808224,0.010716576203556195
325,0.009781375482883109,0.010392287494568879
335,0.009447439491449747,0.010177567026826036
346,0.00917620883895847,0.009947773889104596
356,0.008920188655269643,0.009407261822961581
367,0.0085306955038372,0.00926307661259041
377,0.008404713255002591,0.00939836403748524
388,0.007922404530203606,0.008752058279226111
398,0.007728313698957683,0.008970128683401472
409,0.00751205102899714,0.008747652920666765
419,0.0071590473807783455,0.008299269449324269
430,0.006777959457730859,0.00802985684758024
440,0.006534791400589675,0.00769018064788664
451,0.00634194307853923,0.0077624163022799765
461,0.005765963708280562,0.007350570050163441
472,0.00548749084115445,0.007141653182429191
482,0.005141241732772434,0.0069175863657036955
493,0.0046668898326929055,0.00645592858694416
503,0.004291642916344051,0.005953678964292159
513,0.003955948643586757,0.005814310452699355
524,0.003639539084950042,0.005605718005404505
534,0.00296728132601909,0.005112512281536409
545,0.0027191512878208604,0.004952901482702345
555,0.00230932009571008,0.004562878757216432
566,0.0019231524461520402,0.0043599226816631335
576,0.0016345495478138927,0.004328008349214968
587,0.0012278914554599224,0.0038618337331843664
597,0.0009804991540140456,0.003725812222017844
608,0.0008042478137133818,0.003791007431091552
618,0.0006538604071741574,0.0037798661163649175
629,0.00045092569877516314,0.0036066884980005148
639,0.0003483922030583203,0.0036869851187485273
650,0.00030022597149588834,0.003725639737921224
660,0.00020284253693557877,0.003665818492424653
671,0.00016528486942811457,0.003634009077658319
681,0.00012278001912945343,0.0037388842235630605
692,9.596555119113843e-05,0.0036527492577988867
702,9.958763456673719e-05,0.004333049153281946
713,5.4229402417206185e-05,0.004196012664436426
723,5.2014172174112275e-05,0.004391016604977153
734,4.244901388082917e-05,0.004128546408040762
744,3.7076014342027635e-05,0.004659779002463479
