,macrostate,P_up,P_down,term_1,term_2,term_3
0,0,0.078184458925,0.0,0.0,0.0,-0.0
1,11,0.061194948328,6.9265360324e-05,-1.2060350231089064e-18,8.815133468664864e-40,-1.1536658375738162e-59
2,21,0.044551165170999996,0.00020941912641,-2.2939546392454292e-18,1.7855286651755128e-39,-3.238685817159857e-59
3,32,0.034413060981,0.00032998540129,-3.490913020541096e-18,3.1073080943272073e-39,-6.471242171778436e-59
4,43,0.027588234394999998,0.00061223375522,-4.685205820567897e-18,4.311734375624358e-39,-5.632008317486174e-59
5,53,0.02302553125,0.0046272738541,-5.577353581168823e-18,5.249844567071548e-39,-9.934734543898629e-60
6,64,0.018719982752,0.0087529372571,-6.417188526756883e-18,6.663186336396493e-39,4.911110842310569e-60
7,75,0.016109438981,0.014146914002000001,-7.155288880675644e-18,7.780133507838764e-39,-8.419019024909242e-59
8,86,0.013974025229,0.01882477578,-7.898507006593536e-18,1.0297258104417441e-38,1.4899568952807896e-59
9,96,0.012573611652,0.021153852612,-8.567840459212173e-18,1.340074766426478e-38,-8.956472987097392e-59
10,107,0.011574830484,0.022270595943,-9.316592185606114e-18,1.3583438453051798e-38,-1.9633749565706375e-58
11,118,0.010951936018000001,0.019477386741,-1.0123626509435071e-17,1.5723834361147854e-38,-1.087748647199687e-58
12,128,0.010475390383,0.017045342605,-1.0936940508422791e-17,1.4778548551766682e-38,-2.17464025634681e-58
13,139,0.009920971701600001,0.017193769361000002,-1.171271224520343e-17,2.1494627099936916e-38,1.3282265595550876e-58
14,150,0.0093340684579,0.016401410435999998,-1.2518467780222642e-17,1.8776224292346203e-38,1.3409917463753204e-58
15,160,0.0088326621253,0.016062694233,-1.3270401540647542e-17,2.6064697893685196e-38,-3.355951299299997e-59
16,171,0.0090298668896,0.014916434410999999,-1.3920558511128525e-17,2.0558221368038895e-38,-1.1021322508950823e-58
17,182,0.0082857801698,0.013490331571,-1.4870436486032687e-17,2.824701275986527e-38,1.7591162817644422e-58
18,193,0.0077068616079,0.013087224298000001,-1.5854746035181013e-17,3.464998173897647e-38,-1.2921207553938814e-57
19,203,0.0077312742438,0.011628286273000001,-1.6488820943892473e-17,2.7870900428361913e-38,4.3590009509738816e-58
20,214,0.0075980730909999995,0.012807536175,-1.7161568484934316e-17,2.742340469855424e-38,-1.9451629673293454e-58
21,225,0.0068790550709,0.012488824410999999,-1.8131727398908632e-17,3.6380195165297435e-38,-9.887327690875963e-58
22,235,0.0063644639648,0.011566167557999999,-1.9088235582500525e-17,3.3334015367686637e-38,-3.556174330026857e-58
23,246,0.006874436915399999,0.010843710791,-1.962918827121875e-17,4.301068080878081e-38,-2.7653879050812896e-59
24,257,0.006318619237199999,0.010900232292,-2.0548915335937267e-17,3.220364160749737e-38,-5.2902638324132466e-58
25,267,0.0061530662472,0.011135187569,-2.118601190014693e-17,3.3861271011303155e-38,-1.0980700110862358e-57
26,278,0.0060289862921000005,0.010135615292,-2.2015985498660952e-17,3.752793383884995e-38,-1.0345613436798607e-57
27,289,0.0060108976104,0.011261818338,-2.2717536723642758e-17,4.6236609848525384e-38,6.403328745757807e-58
28,300,0.0057514470612,0.009834060330899999,-2.36816517281438e-17,4.808331479812026e-38,-2.2974971226486976e-58
29,310,0.005506447093100001,0.0083646400266,-2.446805337572652e-17,4.706172572092517e-38,-3.063005424536655e-58
30,321,0.0051753188093,0.009113151425200002,-2.5344248945112787e-17,3.920717399829449e-38,-5.864154838562288e-58
31,332,0.0049842506611,0.0086421338096,-2.611345660812333e-17,5.957730186922172e-38,-1.7039579703613531e-57
32,342,0.0046289966840000005,0.0090918943627,-2.6995677333015196e-17,4.540882597851588e-38,-1.7159051560442363e-58
33,353,0.00486202649,0.0087999448219,-2.7660255724136984e-17,7.166850719419323e-38,-3.2996347168801714e-57
34,364,0.0049874898978,0.0084416128846,-2.8410968056445905e-17,5.829949744914896e-38,-4.3105772291353233e-57
35,374,0.0045674614831,0.0078267382154,-2.927790677174886e-17,6.541990885046977e-38,-4.028469824353981e-57
36,385,0.0048425013042,0.0081649161908,-2.9933795647121824e-17,6.157638228589558e-38,-1.7008271396761383e-57
37,396,0.0045384869723,0.0071660976888,-3.08160086377965e-17,4.743654171651339e-38,1.8087620643091625e-58
38,407,0.004671855863899999,0.008201024961399999,-3.1560954741119833e-17,5.467317363029302e-38,-8.576379924610986e-59
39,417,0.0045782029272,0.0082085001518,-3.219858196853186e-17,6.247095362393233e-38,8.233761980261934e-58
40,428,0.0040707204003000005,0.006951055498,-3.3347827861648504e-17,5.519889214310509e-38,-6.071950547447907e-58
41,439,0.0038550416349000002,0.0074141031206999995,-3.419059822414378e-17,5.875455050623248e-38,-1.079419028695313e-57
42,449,0.0045587009503,0.0076774281452999995,-3.455264457058865e-17,6.375242640706952e-38,-1.219258399898843e-57
43,460,0.0044076848052,0.0071471156622000005,-3.5400217887112403e-17,7.751428431113026e-38,1.5101503360754245e-57
44,471,0.0034593427106,0.0060722601596,-3.672906066110314e-17,7.913508531195985e-38,8.311041571610257e-58
45,481,0.0040336158722,0.0068536114158,-3.7071919157131104e-17,6.755157179146354e-38,-4.317441659659321e-57
46,492,0.0038149833235,0.006612977647300001,-3.810700403298573e-17,6.49572034819113e-38,-5.479218010693059e-58
47,503,0.0035934832669999995,0.0064259616743,-3.8977376537742e-17,9.688817027711576e-38,-9.483818846437535e-57
48,514,0.0033068406024000002,0.0057568045664,-3.991220614000588e-17,6.127141179639001e-38,1.0691774744521616e-57
49,524,0.0039267200033,0.0068633180855,-4.0359522058096253e-17,9.816893815597937e-38,1.875604318693148e-57
50,535,0.0034030201909999998,0.0059127374809,-4.133393835324179e-17,8.234581134974913e-38,-4.993943073738197e-58
51,546,0.0037489051130999997,0.005906669386699999,-4.207968001156465e-17,7.429453546511198e-38,-3.337268071272611e-57
52,556,0.0034724448216999996,0.0058400005763000005,-4.282525884313971e-17,6.557920328747442e-38,-1.950102880571746e-57
53,567,0.0032953517445,0.0059294561434,-4.371446730509628e-17,7.56607671876755e-38,-1.756967690900472e-57
